,name,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
74,"Matthews,Gary",1973,22,SFG,NL,148,605,540,74,162,22,10,12,58,17,5,58,83,.300,.367,.444,.812,121,240,12,1,3,3,7,*7/H9,RoY-1
75,"Fisk,Carlton",1972,24,BOS,AL,131,514,457,74,134,28,9,22,61,5,2,52,83,.293,.370,.538,.909,162,246,11,4,1,0,6,*2/H,"AS,MVP-4,RoY-1,GG"
76,"Chambliss,Chris",1971,22,CLE,AL,111,459,415,49,114,20,4,9,48,2,0,40,83,.275,.341,.407,.749,104,169,9,2,2,0,1,3/H,RoY-1
77,"Williams,Earl",1971,22,ATL,NL,145,550,497,64,129,14,1,33,87,0,1,42,80,.260,.324,.491,.815,123,244,11,7,0,4,5,253H,RoY-1
78,"Munson,Thurman",1970,23,NYY,AL,132,526,453,59,137,25,4,6,53,5,7,57,56,.302,.386,.415,.801,126,188,13,7,5,4,6,*2H,"MVP-19,RoY-1"
79,"Piniella,Lou",1969,25,KCR,AL,135,539,493,43,139,21,6,11,68,2,4,33,56,.282,.325,.416,.741,107,205,12,3,1,9,2,*7/H8,"MVP-35,RoY-1"
80,"Sizemore,Ted",1969,24,LAD,NL,159,650,590,69,160,20,5,4,46,5,5,45,40,.271,.328,.342,.670,94,202,11,5,9,1,7,*46/7,"MVP-30,RoY-1"
81,"Bench,Johnny",1968,20,CIN,NL,154,607,564,67,155,40,2,15,82,1,5,31,96,.275,.311,.433,.743,117,244,14,2,2,8,8,*2/H,"AS,MVP-16,RoY-1,GG"
82,"Carew,Rod",1967,21,MIN,AL,137,561,514,66,150,22,7,8,51,5,9,37,91,.292,.341,.409,.750,113,210,12,2,7,1,4,*4/H,"AS,RoY-1"
83,"Agee,Tommie",1966,23,CHW,AL,160,689,629,98,172,27,8,22,86,44,18,41,127,.273,.326,.447,.773,127,281,17,10,5,4,3,*8/7H,"AS,MVP-8,RoY-1,GG"
